Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Swim_Time,Swim_Seconds,Bike_Time,Bike_Seconds,Run_Time,Run_Seconds,Overall_Rank,Class_Rank
Lukas Johansson,4,Pojkar,Triväst,00:14:35,875.5,ok,00:02:59,180.0,00:07:34,454.9,00:04:00,240.6,1,1
Hugo Kristiansson,7,Pojkar,Pixbo,00:14:44,884.8,ok,00:04:26,266.3,00:06:06,366.1,00:04:12,252.4,2,2
Harry Engel,29,Pojkar,Triväst,00:15:57,957.8,ok,00:02:38,158.2,00:08:25,505.5,00:04:54,294.2,3,3
Julia Flinta,3,Flickor,Triväst,00:16:00,960.2,ok,00:03:07,187.9,00:08:18,498.8,00:04:33,273.4,4,1
Hjalmar Ahlström,9,Ungdom herr,BESK,00:16:43,1004.0,ok,00:04:09,249.7,,0.0,,0.0,5,1
Hjalmar Engel,30,Pojkar,Triväst,00:16:53,1014.0,ok,00:02:34,154.8,00:09:13,553.7,00:05:05,305.4,6,4
Tor Skårbratt,10,Pojkar,GMOK,00:17:21,1041.5,ok,00:04:08,248.8,00:08:35,515.9,00:04:36,276.8,7,5
Charlie hellberg,25,Pojkar,KBSS,00:20:49,1249.4,ok,00:03:58,238.8,00:10:14,614.5,00:06:36,396.1,8,6
Ivar Skårbratt,6,Pojkar,GMOK,00:21:26,1286.1,ok,00:04:03,243.5,,0.0,,0.0,9,7
Elisabeth Tjus,24,Flickor,MASS,,0.0,partial,00:03:05,185.5,00:08:27,507.1,,0.0,,
