Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,Overall_Rank,Class_Rank
Daan Gehlen,20,Herr,TriVäst,00:27:39,1659.2,ok,00:00:00,0.0,00:00:00,0.0,1,1
Peter Ljungberg,43,Herr,TriVäst,00:29:39,1779.2,ok,00:00:00,0.0,00:00:00,0.0,2,2
Jonas Örarbäck,24,Herr,TriVäst,00:29:58,1798.2,ok,00:00:00,0.0,00:00:00,0.0,3,3
Marko Strube,41,Herr,TriVäst,00:30:15,1815.8,ok,00:00:00,0.0,00:00:00,0.0,4,4
Jonathan Flod,23,Herr,TriVäst,00:30:21,1821.5,ok,00:00:00,0.0,00:00:00,0.0,5,5
Siri Ohrankämmen,10,Dam,TriVäst,00:30:32,1832.3,ok,00:00:00,0.0,00:00:00,0.0,6,1
Martin Flinta,44,Herr,Gäst,00:30:34,1834.0,ok,00:00:00,0.0,00:00:00,0.0,7,6
Tony Schröder,39,Herr,TriVäst,00:31:43,1903.6,ok,00:00:00,0.0,00:00:00,0.0,8,7
Anders Holme,37,Herr,TriVäst,00:31:51,1911.4,ok,00:00:00,0.0,00:00:00,0.0,9,8
Hanna Csakvary,1,Dam,TriVäst,00:32:02,1922.2,ok,00:00:00,0.0,00:00:00,0.0,10,2
Emma Malmberg,14,Dam,Gäst,00:32:03,1923.5,ok,00:00:00,0.0,00:00:00,0.0,11,3
David Engel,31,Herr,TriVäst,00:32:27,1947.6,ok,00:00:00,0.0,00:00:00,0.0,12,9
Jonatan Hägerström,26,Herr,TriVäst,00:34:10,2050.1,ok,00:00:00,0.0,00:00:00,0.0,13,10
Fredrik Überbacher,21,Herr,TriVäst,00:34:43,2083.5,ok,00:00:00,0.0,00:00:00,0.0,14,11
My Forsberg,4,Dam,TriVäst,00:35:51,2151.6,ok,00:00:00,0.0,00:00:00,0.0,15,4
Agnes Uddenstig,5,Dam,TriVäst,00:36:11,2171.9,ok,00:00:00,0.0,00:00:00,0.0,16,5
Elina Kiviniemi,3,Dam,TriVäst,00:36:17,2177.9,ok,00:00:00,0.0,00:00:00,0.0,17,6
Fredrik Rosén,34,Herr,TriVäst,00:36:20,2180.8,ok,00:00:00,0.0,00:00:00,0.0,18,12
Jan Ljungcrantz,30,Herr,TriVäst,00:36:29,2189.4,ok,00:00:00,0.0,00:00:00,0.0,19,13
Christoffer Alm,28,Herr,TriVäst,00:36:45,2205.4,ok,00:00:00,0.0,00:00:00,0.0,20,14
Andreas Stennert,38,Herr,TriVäst,00:38:42,2322.4,ok,00:00:00,0.0,00:00:00,0.0,21,15
Lena Isgren,2,Dam,TriVäst,00:39:00,2340.4,ok,00:00:00,0.0,00:00:00,0.0,22,7
Linda Wahlin,6,Dam,TriVäst,00:39:01,2341.9,ok,00:00:00,0.0,00:00:00,0.0,23,8
Stefan Artman,35,Herr,TriVäst,00:39:19,2359.4,ok,00:00:00,0.0,00:00:00,0.0,24,16
Ellinor Nilsson,16,Dam,TriVäst,00:39:45,2385.9,ok,00:00:00,0.0,00:00:00,0.0,25,9
Alexander Brännerud,27,Herr,Gäst,00:39:51,2391.1,ok,00:00:00,0.0,00:00:00,0.0,26,17
Tjeu Gehlen,22,Herr,Gäst,00:40:10,2410.9,ok,00:00:00,0.0,00:00:00,0.0,27,18
Thiébaut Schirmer,36,Herr,TriVäst,00:40:26,2426.0,ok,00:00:00,0.0,00:00:00,0.0,28,19
Johan Ekbäck,42,Herr,TriVäst,00:40:39,2439.8,ok,00:00:00,0.0,00:00:00,0.0,29,20
Lars Galberg Jacobsen,40,Herr,TriVäst,00:42:04,2525.0,ok,00:00:00,0.0,00:00:00,0.0,30,21
Ronny Rosén,33,Herr,TriVäst,00:43:20,2600.6,ok,00:00:00,0.0,00:00:00,0.0,31,22
Kornelia Krumkühler,12,Dam,TriVäst,00:45:41,2741.5,ok,00:00:00,0.0,00:00:00,0.0,32,10
Josefine Ström,11,Dam,TriVäst,00:48:03,2883.4,ok,00:00:00,0.0,00:00:00,0.0,33,11
Lollo Samuelsson,8,Dam,TriVäst,00:48:09,2889.1,ok,00:00:00,0.0,00:00:00,0.0,34,12
Maria Nilsson,13,Dam,TriVäst,00:50:37,3037.6,ok,00:00:00,0.0,00:00:00,0.0,35,13
Christina Uddenstig,9,Dam,TriVäst,00:51:41,3101.3,ok,00:00:00,0.0,00:00:00,0.0,36,14
Heleni Sapnara,7,Dam,TriVäst,00:52:07,3127.2,ok,00:00:00,0.0,00:00:00,0.0,37,15
