Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim1_Time,Swim1_Seconds,Run1_Time,Run1_Seconds,Swim2_Time,Swim2_Seconds,Run2_Time,Run2_Seconds,Overall_Rank,Class_Rank
Martin Flinta,0,Herr,TriVäst,00:26:30,1590.7,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,1,1
Pontus Petrelius Risberg,0,Herr,TriVäst,00:26:59,1619.1,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,2,2
Simon Flinta,0,Herr,TriVäst,00:28:14,1694.6,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,3,3
Jonatan Hägerström,0,Herr,TriVäst,00:28:29,1709.1,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,4,4
Tomas Nelsen,0,Herr,Gäst,00:30:17,1817.5,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,5,5
Erik Rosell,0,Herr,TriVäst,00:30:46,1846.1,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,6,6
Albéric Duriaux,0,Herr,TriVäst,00:37:04,2224.6,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,7,7
My Forsberg,0,Dam,TriVäst,00:38:32,2312.3,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,8,1
Michael Kossenjans,0,Herr,TriVäst,00:38:44,2324.2,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,9,8
Evelina Gårdsby,0,Dam,TriVäst,00:39:35,2376.0,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,10,2
Karl Wackerberg,0,Herr,TriVäst,00:42:19,2539.8,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,11,9
Ida Stjernkvist,0,Dam,TriVäst,00:45:33,2733.2,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,12,3
Kornelia Krumkühler,0,Dam,TriVäst,00:46:27,2787.3,ok,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,13,4
